location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_01b00d05,"Вы уже видели данную сцену, хотите ли ее пропустить?",,,,,,"""%%"""
,S_755ce7f4,"Что ж... Кажется, я все сделала!",,,,,,"S ""%%"""
,S_13d88686,"Интересно, что Стуков приготовил для меня дальше?",,,,,,"S ""%%"""
,C_5e2f64d1,(Сколько желания от тебя исходит! Тренировки Стукова точно приносят свои плоды.),,,,,,"C ""%%"""
,S_b5480a5e,!!!,,,,,,"S ""%%"""
,S_ff4c677b,Это же... хорошо?,,,,,,"S ""%%"""
,C_1b38dfe8,"(Конечно! Все отлично, ты так не считаешь?)",,,,,,"C ""%%"""
,S_9626404b,Это все еще немного странно...,,,,,,"S ""%%"""
,C_41eb4cf9,"(Разве ты не помнишь, ради чего все это делаешь? Все это ради того, чтобы ты раскрепостилась.)",,,,,,"C ""%%"""
,S_ee9ff614,"Значит, я на верном пути!",,,,,,"S ""%%"""
,C_23725e7d,"(Это именно тот настрой, с которым ты должна вызвать Стукова.)",,,,,,"C ""%%"""
,A_ffaca33b,"Я и сам хотел к тебе зайти, но ты успела соскучиться по мне быстрее, хе-хе.",,,,,,"A ""%%"""
,S_fabd8838,Мы же должны двигаться дальше...,,,,,,"S ""%%"""
,S_8d113a6d,Регулярная практика дает результаты!,,,,,,"S ""%%"""
,S_d8bc8873,{size=14}...так Сай'мон сказал.{/size},,,,,,"S ""%%"""
,A_d509b5d6,И он прав!,,,,,,"A ""%%"""
,C_f5617dc6,(Видишь?),,,,,,"C ""%%"""
,S_898aaeff,"(Да-да... Было бы удивительно, если Стуков не поддержал тебя. Такие извращенцы всегда заодно!)",,,,,,"S ""%%"""
,S_8caf695e,"Но... Мне интересно, что ты придумал дальше?",,,,,,"S ""%%"""
,A_457e0bdb,"Ох, отлично, что ты спросила! Все это время я не сидел сложа руки.",,,,,,"A ""%%"""
,S_e8d1fc9e,"Кто бы сомневался... Стуков бы не был Стуковым, если бы держал руки при себе.",,,,,,"S ""%%"""
,A_2f295c81,"Я имел другое в виду, но твой ход мыслей мне определенно нравится, хе-хе.",,,,,,"A ""%%"""
,S_b5480a5e_1,!!!,,,,,,"S ""%%"""
,S_4bdbeee8,(Он только что выставил меня извращенкой?!),,,,,,"S ""%%"""
,S_20cb2049,(Хотя не то чтобы он был не прав... Почему я вообще думаю об это?! Сейчас важен только тест!),,,,,,"S ""%%"""
,S_7aa2cf2a,"Мне даже стало интересно, что такого ты так усердно придумывал.",,,,,,"S ""%%"""
,A_59dcaf83,"Ха-ха, для такой старательной ученицы я приготовил нечто особенное!",,,,,,"A ""%%"""
,S_2139aa6f,И?...,,,,,,"S ""%%"""
,S_07c7c3ce,"(Черт, мне действительно стало очень интересно! Это же Стуков, от этого извращенца можно ожидать чего угодно.)",,,,,,"S ""%%"""
,A_66527fb1,"Ты так завелась от одной только мысли, хе-хе?",,,,,,"A ""%%"""
,S_128fd4e3,Не тяни!,,,,,,"S ""%%"""
,A_91ac5fd6,"Хах, ты очень хорошо справлялась со всеми тренировками. Твоему старанию и рвению могла бы позавидовать любая элитная куртизанка.",,,,,,"A ""%%"""
,A_bdb3719b,"Но нам еще стоит проверить, насколько хорошо ты закрепила все мои уроки.",,,,,,"A ""%%"""
,S_a4ee5194,Ха-ха... Проверка? Что твой извращенный разум придумал на этот раз?,,,,,,"S ""%%"""
,A_ca7b9618,"Этот способ проверки никогда не ошибается, максимальная допустимая погрешность 0.01%%.",,,,,,"A ""%%"""
,A_d17e7e71,"Им начали пользоваться наши предки. Очень давно, когда мир был юн и наивен.",,,,,,"A ""%%"""
,S_09f271cd,"(Наверное, его снова сейчас понесет куда-то не в ту степь.)",,,,,,"S ""%%"""
